Year_A,Year_B,Cosine_Similarity
1990,1991,0.865673
1991,1992,0.872046
1992,1993,0.938486
1993,1994,0.948996
1994,1995,0.913362
1995,1996,0.944401
1996,1997,0.952507
1997,1998,0.946398
1998,1999,0.893319
1999,2000,0.916705
2000,2001,0.943088
2001,2002,0.947197
2002,2003,0.964974
2003,2004,0.980453
2004,2005,0.974413
2005,2006,0.961672
2006,2007,0.953877
2007,2008,0.955499
2008,2009,0.946694
2009,2010,0.935187
2010,2011,0.964941
2011,2012,0.928974
2012,2013,0.915758
2013,2014,0.868565
2014,2015,0.870374
2015,2016,0.955072
2016,2017,0.956226
2017,2018,0.963913
2018,2019,0.974558
2019,2020,0.945027
2020,2021,0.953382
2021,2022,0.938555
2022,2023,0.953849
2023,2024,0.945883
2024,2025,0.903113
2025,2026,0.934356
